Nimike;Tekijä;ISBN;Varauksia;Niteitä;Tilattuja lisäkappaleita;Varauksia / nide
Matalapainetta ;Brown, Sandra ;9789513183493;107;75;0;1.4
Suureen maailmaan ;Lundberg, Ulla-Lena ;9789512400881;106;59;0;1.8
Vielä kerran : rikosromaani ;Tuomola, Johanna ;9789522026088;105;53;0;2.0
Kiltti tyttö ;Flynn, Gillian ;9789510407820;103;27;0;3.8
Mielekkäät eväät : ruokaa hyvälle mielelle ;Rinne, Outi ;9789523001251;103;30;0;3.4
Vastaus on Intia ;Nieminen, Tommi ;9789525557688;102;18;0;5.7
Neljä kysymystä jotka voivat muuttaa elämäsi : rakasta elämää niin kuin se on! ;Katie, Byron ;9519864016;101;9;17;3.9
Uusi maa ;Atwood, Margaret ;9789511282044;101;97;0;1.0
Lähtö läskeille : uusin tieto pysyvään painonhallintaan : tiesitkö tämän laihduttamisesta? ;Roizen, Michael F. ;9789510337905;98;17;0;5.8
Kaappaus keittiössä ;Aihinen, Kari ;9789527043363;96;23;0;4.2
The life-changing magic of tidying ;Kondo, Marie ;9780091955106;95;13;2;6.3
Pataleipää ;Johnsen, Ina-Janine ;9789510413180;95;22;0;4.3
Stressikirja : mistä virtaa? ;Manka, Marja-Liisa ;9789521425226;95;22;0;4.3
Virtaa ravinnosta! : miten löydät kehon ja mielen tasapainon sinulle sopivalla ruokavaliolla ;Havaste, Annika ;9789522603425;94;21;0;4.5
Normaali ;Cameron, Graeme ;9789150905953;94;22;0;4.3
Löydät, kun lakkaat etsimästä : kirja läsnäolon mysteeristä ;Hellsten, Tommy ;9789523122161;94;36;0;2.6
Positiivisen psykologian voima ;;9789524516327;94;82;0;1.1
Karisman käsikirja ;Kortesuo, Katleena ;9789522462855;92;10;0;9.2
Varjojen vartija ;Roberts, Nora ;9789512096299;91;62;0;1.5
Yövieras : rikosromaani ;Sandberg, Timo ;9789512360444;90;86;0;1.0
Taisteluni ;Hitler, Adolf ;cls0052268;89;1;0;89.0
Stressin säätely : kehityksen, vuorovaikutuksen ja oppimisen ydin ;;9789524516457;89;20;0;4.5
Pehmeä kuin kukka, kova kuin timantti ;Ranto, Kirsi ;9789513181437;89;22;7;3.1
Lampaan vaatteissa : romaani ;Hiltunen, Simo ;9789510413005;88;45;0;2.0
Digitalisaatio : yritysjohdon käsikirja ;Ilmarinen, Vesa ;9789521426261;87;2;0;43.5
How to be Parisian : wherever you are ;;9780091958091;87;17;0;5.1
Messukylän veriteko ja muita rikostarinoita Suomesta ;Rimpiläinen, Tuomas ;9789512098606;87;43;0;2.0
Kirjaston arvoitus ;Widmark, Martin ;;86;4;0;21.5
Amorphis ;Laakso, Markus ;9789520108588;86;13;0;6.6
Ihmisen psykologinen kehitys ;;9789524516174;86;36;0;2.4
Kehonpainoharjoittelu : movement ;Rajala, Jukka ;9789526618371;85;30;0;2.8
Tutki ja kirjoita ;Hirsjärvi, Sirkka ;9789513148362;85;51;0;1.7
Maatuska ;Pesonen, Pia ;9789518516661;84;36;1;2.3
Miten elää ilman rahaa ;Astikainen, Tomi ;9789522643629;82;57;0;1.4
Suomen somalit ;Mubarak, Yusuf M. ;9789522643636;82;64;0;1.3
Tukkasurma ;Pulli, Elina ;9789515235350;82;72;0;1.1
Maailmanlopun hiukkanen : miten Higgsin hiukkasen etsintä vie kohti uutta käsitystä maailmankaikkeudesta ;Carroll, Sean ;9789525985276;81;23;0;3.5
Kuin surmaisi satakielen ;Lee, Harper ;9789512076659;81;27;0;3.0
Takana puhumisen taito ;Härkönen, Anna-Leena ;9789526770529;81;36;0;2.3
Lohikäärmeen värit ;Pekkola, Pasi ;9789511287889;81;42;0;1.9
Tappamisen pitkä oppimäärä ;Black, Saul ;9789520112028;81;43;0;1.9
Kuin surmaisi satakielen ;Lee, Harper ;9512062909;80;23;0;3.5
Kasvun aika ;;9789526317694;79;23;0;3.4
Kun pimeys peittää maan ;Lihammer, Anna ;9789523001503;78;73;0;1.1
Vaiheessa : elämä henkisenä harjoituksena ;Kaikkonen, Mili ;9789522603470;77;25;0;3.1
Salaisuus ;Crouch, Blake ;9789513185244;77;50;0;1.5
Ilo opettaa : tietoa, taitoa ja työkaluja ;Pruuki, Lassi ;9789513751586;76;18;0;4.2
Huono-osaiset : elämän edellytykset yhteiskunnan pohjalla ;Saari, Juho ;9789524953559;76;25;0;3.0
Nuoruus ;Modiano, Patrick ;9510134945;75;6;0;12.5
Asioita jotka saavat sydämen lyömään nopeammin ;Kankimäki, Mia ;9789511283386;75;12;3;5.0
Ainutkertainen oppija : erilaisuuden ymmärtäminen ja kohtaaminen ;;9789524514200;75;16;0;4.7
Ihmisen mieli ;;9789524953481;75;29;0;2.6
Älykkäät kuin käärmeet, viattomat kuin kyyhkyset ;Mäkinen, Lauri ;9789522342294;75;39;0;1.9
Ehkä Esther : kertomuksia ;Petrovskaja, Katja ;9789513181376;74;70;0;1.1
Onda boken ;Korkea-aho, Kaj ;9789515236869;73;17;0;4.3
Tautitehdas : miten ylidiagnostiikka tekee meistä sairaita? ;Pasternack, Iris ;9789523001190;73;66;0;1.1
Opetuksen käsitemaailma ;Kansanen, Pertti ;952451088X;72;6;0;12.0
Mieli ja kosmos : miksi materialistis-darwinistinen luontokäsitys on lähes varmasti epätosi ;Nagel, Thomas ;9789522602916;72;11;10;3.4
Solkattens år ;Mazzarella, Merete ;9789515236944;72;22;0;3.3
Biological psychology ;Kalat, James W. ;9781111839529;70;9;0;7.8
Heikkilän keittokirja ;Heikkilä, Antti ;9789525421644;70;46;0;1.5
Lähtisiks föli? ;Laaksonen, Heli ;9789511290643;70;55;0;1.3
