Nimike;Tekijä;ISBN;Varauksia;Niteitä;Tilattuja lisäkappaleita;Varauksia / nide
"Paranemisen avain = ""The healing code"" : paranna 6 minuutissa terveyteen, menestymiseen tai ihmissuhteisiin liittyvän ongelmasi syy ";Loyd, Alexander ;9789522601582;38;17;0;2.2
Alitajunnan voima : kuinka pääset eroon pelosta ja ahdistuksesta ;Schaub, Friedemann ;9789522602978;38;23;0;1.7
Noidan käsikirja ;Maple, Eric ;9513058360;37;3;0;12.3
Lääketieteen valintakokeen kemia 2015 : teoria ja tehtävät ;Alastalo, Altti ;9789526793580;37;4;0;9.3
Paper towns ;Green, John ;9781408848180;37;9;0;4.1
Sudenkorento ;Gabaldon, Diana ;9789512092512;37;10;0;3.7
Gaddafin haaremi : Libyan hirmuvaltiaan seksiorjana ;Cojean, Annick ;9789527011089;37;13;0;2.8
Suomalainen puurokirja ;Koskimies, Tiia ;9789523121782;37;19;0;1.9
Unihiekkaa etsimässä : ratkaisuja vauvan ja taaperon unipulmiin ;Keski-Rahkonen, Anna ;9789516565319;37;19;0;1.9
Suuri aivotreenikirja ;;9789523210622;37;24;0;1.5
Onni on joka päivä : lapsiperheen arki ja hyvinvointi ;Törrönen, Maritta ;9789524952415;37;26;0;1.4
Kultainen kotka : Jesse Hackman -romaani ;Paulow, Ari ;9789526816562;37;28;0;1.3
Ihmisen fysiologia ja anatomia ;;9789510358269;37;29;0;1.3
Paolon treeniraamattu ;Roberto, Paolo ;9789522990730;37;30;0;1.2
All the light we cannot see : a novel ;Doerr, Anthony ;9780007548675;36;3;3;6.0
The martian ;Weir, Andy ;9780091956134;36;6;0;6.0
Lue lapselle! : opas lasten kirjallisuuskasvatukseen ;Heikkilä-Halttunen, Päivi ;9789523001794;36;8;0;4.5
Seitsemän tarinaa ennovaatiosta : rohkea uudistaa ennakoiden ;;9789522380432;36;8;0;4.5
TRE-stressinpurkuliikkeet : stressin ja traumojen helpottamiseen ;Berceli, David ;9789529948543;36;9;0;4.0
Bios. 2 : Solu ja perinnöllisyys ;;9789526313504;36;11;0;3.3
Ammattina sosionomi ;;9789510330418;36;12;0;3.0
Anatomia ja fysiologia : rakenteesta toimintaan ;;9789526301051;36;24;0;1.5
Terveempi elämä 12 viikossa ;Nordstrand, Berit ;9789510409527;36;34;0;1.1
X ;Grafton, Sue ;9781447260097;35;3;3;5.8
Tenth Of December ;Saunders, George ;9781408837368;35;4;5;3.9
Maamme energia ;;9789522644572;35;11;0;3.2
Näkökulman vaihtamisen taito ;Mattila, Antti S. ;9789510411810;35;11;0;3.2
Blå stjärnan ;Guillou, Jan ;9789164204554;35;13;0;2.7
Falling in love ;Leon, Donna ;9780434023585;35;13;1;2.5
Love in vain : Robert Johnson ja paholainen tienristeyksessä ;Mezzo ;9789520113070;35;20;0;1.8
Superlicious! : anna hyvän olon näkyä ;Fors, Julia ;9789522402950;35;20;0;1.8
Peräkammarin poika ;Andersson, Jan ;9789511289906;35;24;0;1.5
Fifty shades. 1 : Sidottu ;James, E. L. ;9789511284024;35;25;0;1.4
Kansojen varallisuus : tutkimus sen luonteesta ja syistä ;Smith, Adam ;9789510404263;35;25;0;1.4
Erityispedagogiikan perusteet ;;9789510345658;35;26;0;1.3
Suomalainen kansanusko : samaaneista saunatonttuihin ;Pulkkinen, Risto ;9789524953405;35;29;0;1.2
Organisaatiokäyttäytymisen perusteet ;Lämsä, Anna-Maija ;9513740811;35;33;0;1.1
Säker stil : guiden till den perfekta garderoben ;Kleberg von Sydow, Ebba ;9789174244335;34;2;0;17.0
The life-changing magic of tidying : the Japanese art of decluttering and organizing ;Kondo, Marie ;9781607747307;34;2;0;17.0
Levels of life ;Barnes, Julian ;9780099584537;34;5;2;4.9
Hallinto-oikeus ;Mäenpää, Olli ;9789526304281;34;9;0;3.8
Lukemaan oppiminen ja opettaminen esi- ja alkuopetuksessa ;Lerkkanen, Marja-Kristiina ;9510315257;34;10;0;3.4
Pipsan superkiva äänikirja ;;9789511284550;34;2;8;3.4
Vuorovaikutuksellinen tukeminen sosiaali- ja terveysalalla ;Vilén, Marika ;951025682X;34;13;0;2.6
Human rights and social work : towards rights-based practice ;Ife, Jim ;9780521719629;34;14;0;2.4
All the light we cannot see : a novel ;Doerr, Anthony ;9780007548699;34;15;0;2.3
Muukalainen ;Gabaldon, Diana ;9789512400386;34;19;0;1.8
Erityispedagogiikan perusteet ;;9789524516471;34;23;0;1.5
Etiikka hoitotyössä ;Leino-Kilpi, Helena ;9789526308968;34;26;0;1.3
Erään petturin puolustus : esseitä ;Salminen, Johannes ;9510083887;33;1;0;33.0
Toivonkipinöitä : Hope's Crossingin elämää ;Thayne, RaeAnne ;9789164094186;33;1;0;33.0
Tapan sut : esseitä populaarikulttuurin vaikutusvallasta ;Hurskainen, Antti ;9789522681126;33;6;0;5.5
Finding Audrey ;Kinsella, Sophie ;9780857534583;33;8;0;4.1
Usko, toivo ja raskaus : vanhoillislestadiolaista perhe-elämää ;Ruoho, Aila ;9789523001770;33;10;0;3.3
Mikä vaivaa? : tautiopin perusteet ;Lehtonen, Mari ;9789513751203;33;11;0;3.0
The Martian ;Weir, Andy ;9780091956141;33;5;6;3.0
Apua, meillä on puutarha! : kaikki se, mitä aloittelijan pitää puutarhassa tehdä - ja se, mitä siellä ei pidä tehdä ;Sidenbladh, Erik ;9789518836783;33;17;0;1.9
Kirje Munakoisotasavaltaan : romaani ;Khider, Abbas ;9789525850529;33;17;0;1.9
Kafe Piter. 1 ;Alestalo, Marjatta ;9789517925884;33;22;0;1.5
"Not that kind of girl : a young woman tells you what she's ""learned"" ";Dunham, Lena ;9780008101268;33;26;0;1.3
Henkilöstöjohtaminen : strateginen kilpailutekijä ;Viitala, Riitta ;9789513763589;33;27;0;1.2
Monster : Crips-jengiläisen muistelmat ;Scott, Kody ;9525339068;32;1;0;32.0
Rypsisade ;Hokkinen, Jyri ;9789526839301;32;2;0;16.0
Näytteenottajan käsikirja ;Matikainen, Anna-Mari ;9789513752354;32;5;0;6.4
Suomen mestari. 2 : suomen kielen oppikirja aikuisille : opettajan opas ;Gehring, Sonja ;9789517926591;32;7;0;4.6
Tunne- ja turvataitoja lapsille : tunne- ja turvataitokasvatuksen oppimateriaali ;Lajunen, Kaija ;9789523024670;32;7;0;4.6
Karisma : 30 keinoa parantaa henkilökohtaista vaikuttavuutta ;Hinkka, Toni ;9789527044100;32;8;0;4.0
Kohtu 4 : Suomen Tallinnan-lähetystön historia ;Pekkarinen, Jussi ;9789522225733;32;8;0;4.0
Uskontotieteen maastot ja kartat ;Anttonen, Veikko ;9789522221841;32;8;0;4.0
Koulun pirulliset dilemmat ;Salminen, Jari ;9789518512496;32;17;0;1.9
Turvallisen lääkehoidon perusteet ;Taam-Ukkonen, Minna ;9789526322223;32;17;0;1.9
Viisaan miehen pelko ;Rothfuss, Patrick ;9789525802115;32;25;0;1.3
Odottamaton onni ;;9789164092809;31;1;0;31.0
Ystäväni Seija : kutsumuksena Afganistan ;Sariola, Jukka ;9789516196094;31;5;0;6.2
The woman I wanted to be ;Von Furstenberg, Diane  ;9781471140273;31;8;0;3.9
Jackpot : making the most of business English ;Timonen, Marja-Leena ;9789526321509;31;10;0;3.1
Tutkimuksen tekemisen perusteet ihmistieteissä : tutkijalaitos ;Metsämuuronen, Jari ;9789525372250;31;10;0;3.1
Häpeästä hyväksyntään ;Kettunen, Paavo ;9789522881205;31;13;0;2.4
Stoner ;Williams, John ;9780099561545;31;16;1;1.8
To kill a mockingbird ;Lee, Harper ;9780099549482;31;17;0;1.8
Kyyhkysinetti ;Yli-Juonikas, Jaakko ;9789511290698;31;23;0;1.3
Talous ja utopia : talouspolitiikan mahdollisuudet ja rajat ;Korkman, Sixten ;9789522910523;31;24;0;1.3
Etiikka hoitotyössä ;Leino-Kilpi, Helena ;9789510346655;31;28;0;1.1
Huippukokin kotiruokaa. 2 / [tekstit: Elina Lähteenmäki & Heli Thorén] ;Björck, Tomi ;9789527054093;31;29;0;1.1
Biological psychology ;Kalat, James W. ;0534588581;30;2;0;15.0
Plenty more ;Ottolenghi, Yotam ;9780091957155;30;4;0;7.5
Fool's quest ;Hobb, Robin ;9780007444212;30;3;2;6.0
Lääketieteen valintakokeen fysiikka 2015 : teoria ja tehtävät ;Tuomi, Jussi ;9789526793566;30;5;0;6.0
Tiikerihai ;Tuominen, Taija ;9510245402;30;5;0;6.0
Bad feminist : essays ;Gay, Roxane ;9781472119735;30;6;0;5.0
Rory Gallagher : musiikki ja elämänvaiheet ;Aitakari, Henri ;9789529354719;30;7;0;4.3
Fables. [Vol. 21] : Happily ever after ;Willingham, Bill ;9781401251321;30;2;6;3.8
Hyvää mieltä & tunnetaitoja ;Niemi, Päivi ;9789524756747;30;8;0;3.8
Sisätaudit ;Vauhkonen, Ilkka ;9789526301471;30;8;0;3.8
Suoraa puhetta : kollegiaalisesti opetuksesta ja kasvatuksesta ;;952451138X;30;13;0;2.3
Physica. 1 : Fysiikka luonnontieteenä ;;9789526300719;30;19;0;1.6
Terveeksi mielen voimalla : paranna itsesi ilman lääkkeitä ;Rankin, Lissa ;9789522602817;30;21;0;1.4
Vegaanin keittiössä : parempaa arkiruokaa kasviksista ;Innanen, Elina ;9789522208989;30;26;0;1.2
Atkinson & Hilgard's introduction to psychology ;;9781844807284;29;4;0;7.3
Terveystietoa oppimaan ja opettamaan ;;9789513936686;29;4;0;7.3
The organized mind : thinking straight in the age of information overload ;Levitin, Daniel J. ;9780670923106;29;5;0;5.8
Shopaholic to the stars ;Kinsella, Sophie ;9780552778534;29;7;1;3.6
Perhe- ja jäämistöoikeuden perusteet ;Kangas, Urpo ;9789521420948;29;9;0;3.2
Tarinallistaminen : palvelukokemuksen punainen lanka ;Kalliomäki, Anne ;9789521420450;29;9;0;3.2
Vapaaehtoiset ;Jalonen, Jussi ;9789525330748;29;9;0;3.2
Physica. 2 : Lämpö ;;9789526308883;29;10;0;2.9
Koko kroppa laulaa : opi uusi huippuartistien tekniikka ;Hapuoja, Maija ;9789512400911;29;12;0;2.4
Kaikki oikein ;Härkönen, Anna-Leena ;9789511285311;29;15;0;1.9
Rankkaa menoa : Johnny Winter ;Sullivan, Mary Lou ;9789527063033;29;17;0;1.7
Vegaanin keittiössä : parempaa arkiruokaa kasviksista ;Innanen, Elina ;9789523210271;29;23;0;1.3
Miksi aivot sanovat ei : opi uusi tapa ajatella ;Lappalainen, Markku ;9789523121324;29;26;0;1.1
Perjantaina rabbi nukkui myöhään : jännitysromaani ;Kemelman, Harry ;kr12096628;28;1;0;28.0
Rakkauden kielioppi / Cathy Kelly ;Kelly, Cathy  ;9789512077588;28;1;0;28.0
Salamasota ;;9788253534527;28;1;0;28.0
Nuoruuteni Grönlannissa ;Freuchen, Peter ;kr20223420;28;4;0;7.0
Hämärien puotien kuja ;Modiano, Patrick ;9510093378;28;6;0;4.7
Fascial Stretch Therapy : lihaskalvojen venytysterapia ;Frederick, Ann ;9789519147710;28;8;0;3.5
Naparetki : minun rakkaustarinani ;Uusma, Bea ;9789520112837;28;9;0;3.1
Tohtoritakuu : kirjoittamisen opas jatko-opiskelijalle ja tutkijalle ;Kiriakos, Carol ;9789518845013;28;9;0;3.1
Areena : yritysviestinnän käsikirja ;Kortetjärvi-Nurmi, Sirkka ;9789513765668;28;11;0;2.5
Kääntöneuleet : opi uusi kaksipuoleinen neuletekniikka ;Twigg, Vicki ;9789523121737;28;11;0;2.5
Hoitotyön taidot ja toiminnot ;;9789526329802;28;13;0;2.2
Poika raidallisessa pyjamassa ;Boyne, John ;9789525637199;28;21;0;1.3
Kulttuurinen moninaisuus päiväkodissa ja koulussa ;Paavola, Heini ;9789524514811;28;24;0;1.2
Leikkii tulella ;Beckett, Tina ;9789164092892;27;1;0;27.0
Koodi2016 : ensiapua ohjelmoinnin opettamiseen peruskoulussa ;Mykkänen, Juhani ;9789529340828;27;3;0;9.0
Sophie : roman ;Strömberg, Mikaela ;9789515234674;27;4;0;6.8
Oma sininen meresi : käytännön ohjeita ja harjoituksia oman menestyksesi määrittämiseksi ja saavuttamiseksi, onnellisuuden tunteen kasvattamiseksi sekä oman sinisen meresi löytämiseksi ;Pirilä, Hannu ;9789523183070;27;5;0;5.4
Key concepts in developmental psychology ;Schaffer, H. Rudolph  ;9780761943464;27;6;0;4.5
Salattu ;Pettrey, Dani ;9789522521675;27;6;0;4.5
Alitajuntasi voima ;Murphy, Joseph ;9789519745251;27;8;0;3.4
Kvinnan på tåget : [thriller] ;Hawkins, Paula ;9789187783432;27;8;0;3.4
Irlantilainen päiväkirja ;Rekola, Juhani ;9789522882646;27;12;0;2.3
Sydämeni sävel : Toivo Kärki ja hänen musiikkinsa ;Kärki, Kalervo ;9789522358882;27;12;0;2.3
Empatian ja intuition mahtava voima ;Dale, Cyndi ;9789526651149;27;15;0;1.8
Suomalaisen koulun menestystarina : ja mitä muut voivat siitä oppia ;Sahlberg, Pasi ;9789522643308;27;18;0;1.5
Kunpa sinut tuntisin paremmin : keskustelemalla tunnekeskeiseen parisuhteeseen ;Johnson, Susan M. ;9789519263984;27;20;0;1.4
Linkki : työyhteisön viestintä ;;9789513763572;27;23;0;1.2
Lähempänä kuin uskotkaan  ;;9789164092816;26;1;0;26.0
Awaken the giant within : how to take immediate control of your mental, emotional, physical and financial destiny ;Robbins, Anthony ;9780743409384;26;2;1;8.7
Puikoilla poimittua : tunteita ja tarinoita Japanista ;Vänskä, Vuokko ;9789516196155;26;4;0;6.5
Kiinteistönvälittäjän käsikirja ;;9789526735238;26;6;0;4.3
Allegiant ;Roth, Veronica ;9780007538027;26;7;0;3.7
Vortex - energiapyörre : vetovoiman laki ja hyvät ihmissuhteet ;Hicks, Esther ;9789529676743;26;7;0;3.7
Vuorovaikutus : dialoginen asiakastyö ;Mönkkönen, Kaarina ;9789513749248;26;8;0;3.3
Me before you ;Moyes, Jojo ;9780718157838;26;8;1;2.9
Taaperosta taitavaksi toimijaksi : itsesäätelytaitojen kehitys ja tukeminen ;;9789513942861;26;9;0;2.9
Retroneuleet : suosikkeja vuosien varrelta ;Trotzig, Eva ;9789518837315;26;10;0;2.6
POSE : mallin asento ja ohjaaminen henkilökuvauksessa ;Puputti, Tiina ;9789522910677;26;12;0;2.2
Yrityksen laskentatoimi ;Ikäheimo, Seppo ;9789526301631;26;16;0;1.6
Huivileikki : huiveja käsinvärjätyistä langoista ;Välimäki, Veera ;9789523000865;26;18;0;1.4
Pohjolan ruokavalio ;Soisalo, Soili ;9789511292487;26;20;0;1.3
Mielen valmentamisella optimaaliseen suoritukseen ;Gustafsberg, Harri ;9789526824208;26;21;0;1.2
Kasvot pinnan alla : jännityskirja ;Martikainen, Tiina ;9789522026149;26;23;0;1.1
Laadullinen tutkimus ja sisällönanalyysi ;Tuomi, Jouni ;9789513153694;26;23;0;1.1
Metsästäjät ;Adler-Olsen, Jussi ;9789512095056;26;21;3;1.1
Kliininen neuropsykologia ;;9789516565029;25;2;0;12.5
Sakset : triptyykki ;Lindstedt, Laura ;9789518512410;25;2;0;12.5
The new bohemians : cool and collected homes ;Blakeney, Justina  ;9781617691515;25;2;1;8.3
How to build a girl ;Moran, Caitlin ;9780091949013;25;4;0;6.3
Elon Musk : Tesla, SpaceX, and the quest for a fantastic future ;Vance, Ashlee ;9780062301239;25;2;3;5.0
Matematiikka - näkökulmia opettamiseen ja oppimiseen ;;9513919404;25;5;0;5.0
Fitness elämäntavaksi ;Valosaari, Mari ;9789523211179;25;6;0;4.2
Reinin kultaa ;Lassila, Sirkka ;9789525720136;25;3;3;4.2
Sunnuntaikävelyllä Helsingissä : 52 reittiä historiaa ja nähtävyyksiä ;Jokinen, Pauli ;9789523120129;25;6;0;4.2
Alan Turing : the enigma : the book that inspired the film The imitation game ;Hodges, Andrew ;9781784700089;25;7;0;3.6
Marketing management ;;9780273718567;25;7;0;3.6
Näin rakennat monialaisia oppimiskokonaisuuksia ;;9789524516372;25;7;0;3.6
Sosiaaliepidemiologia : väestön terveyserot ja terveyteen vaikuttavat sosiaaliset tekijät ;;9789524951715;25;7;0;3.6
The intelligent investor : a book of practical counsel ;Graham, Benjamin ;9780060555665;25;7;0;3.6
Neste- ja ravitsemushoito ;;9789510339565;25;8;0;3.1
This changes everything : capitalism vs. the climate ;Klein, Naomi ;9780241956182;25;8;0;3.1
Tähteistä tähdiksi : reseptikuningatar ;Sillanpää, Kaisa ;9789523211001;25;8;0;3.1
Varhaiskasvatuksen pedagogiikka ;;9789517684125;25;10;0;2.5
Viiden tähden vaellus : parhaat vinkit ja ruoat eräretkelle ;Kantojärvi, Piritta ;9789513176839;25;11;0;2.3
Sen jälkeen savuke ;Engdahl, Horace ;9789522341921;25;12;0;2.1
Myötätuntoinen mieli : uusi näkökulma arjen haasteisiin ;Gilbert, Paul ;9789522603531;25;17;0;1.5
Rivstart. A1 + A2. Textbok : svenska som främmande språk ;Levy Scherrer, Paula ;9789127434202;25;13;5;1.4
Opi virkkaamaan : aloittelijasta taitajaksi ;Trench, Nicki ;9789518836837;25;19;0;1.3
Vaurastumisen reseptit : oma talous haltuun ;Sjögren, Mikko ;9789522463074;25;20;0;1.3
Mikrobit hoitotyön haasteena ;Karhumäki, Eliisa ;9789513755744;25;21;0;1.2
Johdatus kasvatustieteisiin ;Rinne, Risto ;9510289043;25;24;0;1.0
Cocaine blues : a Phryne Fisher mystery ;Greenwood, Kerry ;9781741145663;24;1;0;24.0
Epione valmennus. Kokeet kotona ja aineistovastaaminen 2015 ;;9789525723410;24;2;0;12.0
Löydä helmet - vältä kuplat!. Osa 2 : Tuoton arvoitus ratkeaa ;Elo, Henri ;9789529358113;24;2;0;12.0
Sapiens : a brief history of humankind ;Harari, Yuval Noah ;9780099590088;24;2;0;12.0
Med segelbåt till Sibirien ;Söderström, Tage ;9515015111;24;3;0;8.0
"Not that kind of girl : a young woman tells you what she's ""learned"" ";Dunham, Lena ;9780007515547;24;3;0;8.0
Kätketty aarre : ortodoksisen apofaattisen teologian sovellutus ;Maria Normanbylainen, äiti ;9516007112;24;4;0;6.0
Outlander ;Gabaldon, Diana ;9781784751371;24;2;2;6.0
Katkennut totuus : traumatutkielma : emotionaalinen trauma, rakenteellinen dissosiaatio ja psykopatologia ;Leikola, Anssi ;9789525718560;24;6;0;4.0
Stalinin makaronit ja 30 muuta historiallista huikopalaa, herkkua ja viimeistä ateriaa ;Rönström, Jon ;9789523001664;24;6;0;4.0
Ajan merkit : historian käyttö ja opetus ;Rantala, Jukka ;9789524953535;24;7;0;3.4
EU-oikeuden perusteita ;Ojanen, Tuomas ;9789513757519;24;7;0;3.4
Käytännön kirjanpito : harjoituskirja ;Tomperi, Soile ;9789513766641;24;8;0;3.0
Projektihallinnan käsikirja ;Pelin, Risto ;9789526720111;24;8;0;3.0
Satavuotias joka karkasi ikkunasta ja katosi ;Jonasson, Jonas ;9789510400449;24;9;0;2.7
Wicked charms ;Evanovich, Janet ;9781472225450;24;9;0;2.7
Työn mielekkyyden johtaminen : käytännön opas ;Järvinen, Kati ;9789521421105;24;10;0;2.4
Vieraassa takissa ;Lavaste, Aila ;9789520110987;24;10;0;2.4
Hallintolaki ja hyvän hallinnon takeet ;Mäenpää, Olli ;9789513760458;24;11;0;2.2
The walking dead. Volume 23 : Whispers into screams ;Kirkman, Robert ;9781632152589;24;11;0;2.2
Pääomaturvattu sijoittaminen ;Järvinen, Sami ;9789521421686;24;12;0;2.0
Mitä lapsi tarvitsee hyvään kasvuun ;Sinkkonen, Jari ;9789510397275;24;15;0;1.6
Jaksaa, jaksaa! : näkökulmia vaaralliseen ja kantavaan vahvuuteen ;Merikallio, Isa ;9789522604057;24;17;0;1.4
Laadullinen tutkimus opinnäytetyönä : miten kirjoitan kvalitatiivisen opinnäytetyön vaihe vaiheelta ;Kananen, Jorma ;9789518303285;24;17;0;1.4
Kiltti tyttö ei pääse pomoksi : 101 tapaa hävitä miehelle ;Frankel, Lois P. ;9521409088;24;18;0;1.3
Pedon palkka ;Leon, Donna ;9789511287360;24;19;0;1.3
Ammattina vankikarkuri ;Jalutsi, Jan ;9789518512823;23;1;0;23.0
Shape shape : sewing clothing patterns to wear multiple ways ;Hiraiwa, Natsuno ;9781596683556;23;1;0;23.0
Rautakolmio ;Lehtolainen, Leena ;9789513186807;23;2;0;11.5
"Kielteisen asenteen opas : ""olen niin onnellinen, että tekisi mieli mennä hirteen"" ";Kuosmanen, Jussi Juhani ;9789525182323;23;3;0;7.7
Keinu ;Ronkainen, Pia ;9789526626123;23;1;4;4.6
Menetelmäviidakon raivaajat : perusteita laadullisen tutkimuslähestymistavan valintaan ;;9789519411521;23;5;0;4.6
Raunioista nousee Donbass ;Rossi, Matti ;9789525412628;23;5;0;4.6
Se tapahtuu kun lepäät ;Sjödin, Tomas ;9789518887273;23;6;0;3.8
Zero to one : notes on startups, or how to build the future ;Thiel, Peter ;9780753555187;23;6;0;3.8
Rikas elämä : parempaa arkea hidastamalla ;Saarivirta, Leila ;9789523211186;23;7;0;3.3
Perusoikeudet ;;9789510309575;23;8;0;2.9
The walking dead. Volume 24 : Life and death ;Kirkman, Robert ;9781632154026;23;8;0;2.9
Yritysvastuu ja menestyvä liiketoiminta ;Harmaala, Minna-Maari ;9789526303673;23;8;0;2.9
Etta and Otto and Russell and James ;Hooper, Emma ;9780241003329;23;10;0;2.3
Reaktio : lukion kemia. 1 : Ihmisen ja elinympäristön kemia ;;9789526303215;23;10;0;2.3
Musta komppania ;Cook, Glen ;9789525722260;23;11;0;2.1
Matkantekijä ;Gabaldon, Diana ;9789512096671;23;12;0;1.9
Ikkunoita tutkimusmetodeihin. 2 : Näkökulmia aloittelevalle tutkijalle tutkimuksen teoreettisiin lähtökohtiin ja analyysimenetelmiin ;;9789524516600;23;13;0;1.8
Kesytä sisäinen apinasi : tyynnytä levoton mielesi ;Mikulas, William L. ;9789526651132;23;13;0;1.8
Kuntoutumisen tukeminen ;;9789526302850;23;13;0;1.8
Minä ja riippuvuus : kirja riippuvuuspersoonallisuuden syntymisestä ja toipumisesta ;Nakken, Craig ;9789525182347;23;14;0;1.6
Hyvinvointipolitiikka ;;9789510360378;23;15;0;1.5
Liike-elämän matematiikka ;Saaranen, Pirjo ;9789513765606;23;15;0;1.5
Poika raidallisessa pyjamassa ;Boyne, John ;9789525635867;23;15;0;1.5
Tutkimushaastattelu : teemahaastattelun teoria ja käytäntö ;Hirsjärvi, Sirkka ;9789524950732;23;16;0;1.4
Välittäminen ammattina ;Särkelä, Antti ;9517680961;23;16;0;1.4
Sydämen voima : löydä elämäsi tarkoitus ;Pape, Baptist de ;9789522603517;23;19;0;1.2
A court of thorns and roses ;Maas, Sarah J. ;9781408857861;22;2;0;11.0
Hyviä enteitä : noita Agnes Nutterin hienot ja oikeat ennustukset ;Pratchett, Terry ;9518954844;22;2;0;11.0
Essentialism : the disciplined pursuit of less ;McKeown, Greg ;9780753555163;22;2;1;7.3
Influence : the psychology of persuasion ;Cialdini, Robert B. ;9780061241895;22;4;0;5.5
Talousohjaus ja kustannuslaskenta ;;9789526320052;22;5;0;4.4
Viisi vuotta elämästäni : melanoomasta meditaatioon ;Väisänen, Satu ;9789526618432;22;5;0;4.4
Marketing management ;;9780273743613;22;8;0;2.8
Physica. 4 : Liikkeen lait ;;9789526316253;22;8;0;2.8
Effekten av Susan ;Høeg, Peter ;9789113066585;22;10;0;2.2
Tunne elintarvikkeet ;Ijäs, Tuija ;9789511230670;22;10;0;2.2
Eritahtiset aseveljet : Suomi ja muut Saksan rinnalla taistelleet 1939-1944 ;Uola, Mikko ;9789522911704;22;11;0;2.0
Flexvård : svenska för högskolor ;Tuunanen, Maria ;9789511208327;22;11;0;2.0
Kysykää Essiltä! : Elisabeth Kochin puutarhat ;Karisto, Maria ;9789523010505;22;11;0;2.0
Ekspansiivinen oppiminen ja yhteiskehittely työssä ;Engeström, Yrjö ;9517681585;22;12;0;1.8
Hoitotyön taidot ja toiminnot ;;9789526302751;22;12;0;1.8
Mustat peilit : runoja ;Hänninen, Anne ;9789510412572;22;12;0;1.8
Futuremakers : inspiroivia naisia, jotka muuttavat maailmaa teknologian avulla ;Piippo, Tuuti ;9789524516532;22;14;0;1.6
Svenska gummistövlar ;Mankell, Henning ;9789173436007;22;14;0;1.6
1900-luvun ranskalainen yhteiskuntateoria ;;9789524953429;22;15;0;1.5
Helvetinjumalakone, eli, kuvallinen runoelma Berliinistä ;Hytönen, Ville ;9789522343178;22;16;0;1.4
Pitkä matematiikka. 1 : Funktiot ja yhtälöt ;;9789526315690;22;16;0;1.4
Sinisen meren strategia ;Kim, W. Chan ;9789521425776;22;16;0;1.4
Kaikki oikein ;Härkönen, Anna-Leena ;9789511291763;22;17;0;1.3
Kehittämistyön menetelmät : uudenlaista osaamista liiketoimintaan ;Ojasalo, Katri ;9789526326955;22;18;0;1.2
Sitä parempi soppa. II : Puoli kuuta nokkosesta, perunasta ei päivääkään ;Moilanen, Mari ;9789522882127;22;18;0;1.2
Upeaa työtä! : näin teet itsellesi unelmien työpaikan ;Järvilehto, Lauri ;9789513185572;22;12;6;1.2
Oppiminen tiedon rakentamisena : konstruktivistisen oppimiskäsityksen perusteita ;Tynjälä, Päivi ;9512644193;22;20;0;1.1
Kaikki elämäni häät ;;9789150905052;21;1;0;21.0
Karjaparonin kutsu ;;9789150905069;21;1;0;21.0
Pipsa Possu ja vastakohdat ;;9525541533;21;1;0;21.0
Ruokatorstai  ;Salonen, Eeva ;9789525557121;21;1;0;21.0
Paris for one ;Moyes, Jojo ;9781405918930;21;3;0;7.0
Armada ;Cline, Ernest ;9781780893044;21;4;0;5.3
Caravaggio : miekka ja paletti ;Manara, Milo ;9789520112615;21;4;0;5.3
Rivstart. A1 + A2 : Övningsbok  ;Levy Scherrer, Paula ;9789127434219;21;4;0;5.3
Ruokaa ja puhtautta ;;9789526314747;21;4;0;5.3
The developing person through the life span ;Berger, Kathleen Stassen ;1572594292;21;4;0;5.3
Creativity, Inc. : overcoming the unseen forces that stand in the way of true inspiration ;Catmull, Ed ;9780593070093;21;5;0;4.2
Etsin Allahia, löysin Jeesuksen : hurskas muslimi kohtaa kristinuskon ;Qureshi, Nabeel ;9789518887242;21;5;0;4.2
Shades of earth ;Revis, Beth ;9780141333700;21;5;0;4.2
Thrive ;Huffington, Arianna ;9780753555422;21;5;0;4.2
Sosiaalihuollon tila ja tulevaisuus ;;9789517684408;21;6;0;3.5
Suomenhevonen : arjen sankari ;;9789525330717;21;6;0;3.5
Liikuntapedagogiikka ;;9789524515825;21;7;0;3.0
Personal trainer : oikein hyvään kuntoon ;Erola, Ville ;9789527043387;21;8;0;2.6
Enkeliprinsessa ja itsari liukumäessä : leikkikulttuuri ja yhteiskunnan muutos ;Kalliala, Marjatta ;9516627714;21;10;0;2.1
Fysiikka. 1 : Fysiikka luonnontieteenä ;;9789526301136;21;11;0;1.9
Lihavuus ;;9789516563742;21;12;0;1.8
Temperamentti : ihmisen yksilöllisyys ;Keltikangas-Järvinen, Liisa ;9789510414019;21;14;0;1.5
Jyviä nokkimassa : taide-elämää meillä ja muualla ;Arkio, Tuula ;9789522342867;21;19;0;1.1
Paper towns ;Green, John ;9781408806593;21;19;1;1.1
Aivojumppaopas ;Dennison, Paul E. ;9519846018;20;1;0;20.0
Exodus : immigration and multiculturalism in the 21st century ;Collier, Paul ;9781846142246;20;1;0;20.0
Mind change : how digital technologies are leaving their mark on our brains ;Greenfield, Susan ;9781846044311;20;2;0;10.0
Fracture ;Daugherty, C. J.   ;9780349001715;20;3;0;6.7
How not to be wrong : the hidden maths of everyday life ;Ellenberg, Jordan ;9780718196042;20;3;0;6.7
Tenth of December ;Saunders, George ;9781408837344;20;4;0;5.0
